"date" "usdvnd" "eurusd" "usdcny" "usdjpy" "usdkrw" "usdsgd" "usdtwd" "usdthb"
2005-01-03 15777 1.3465 8.2765 102.79 1037.5 1.63925 31.84 38.93
2005-01-04 15776 1.3279 8.2765 104.57 1038.5 1.65025 31.8 39.2
2005-01-05 15788 1.3262 8.2764 104.14 1046.4 1.64765 31.93 39.1
2005-01-06 15785 1.3172 8.2765 105.01 1059.5 1.65035 32.05 39.25
2005-01-10 15775 1.3074 8.2764 104.335 1053.5 1.6432 32.225 39.165
2005-01-11 15775 1.3107 8.2765 103.32 1045.5 1.63915 32.065 39.025
2005-01-12 15771 1.32555 8.2765 102.44 1042.5 1.63505 31.825 38.845
2005-01-13 15777 1.32245 8.2764 102.385 1036.5 1.6305 31.75 38.705
2005-01-17 15784 1.30665 8.2764 102.125 1036.5 1.6334 31.785 38.485
2005-01-18 15785 1.30195 8.2763 102.265 1035.9 1.6357 31.89 38.415
2005-01-19 15785 1.30105 8.2764 102.77 1031.5 1.6333 31.755 38.475
2005-01-20 15785 1.29625 8.2765 103.42 1032.5 1.63845 31.84 38.605
2005-01-24 15790 1.30605 8.2764 102.64 1032.5 1.6326 31.8 38.41
2005-01-25 15786 1.29745 8.2765 104.07 1031.5 1.6405 31.845 38.59
2005-01-26 15786 1.30735 8.2765 103.075 1031.7 1.6325 31.885 38.49
2005-01-27 15796 1.3044 8.2765 102.72 1028.5 1.63155 31.845 38.465
2005-01-31 15785 1.30385 8.2764 103.695 1026.5 1.6372 31.745 38.55
2005-02-01 15804 1.30465 8.2765 103.68 1028.5 1.6384 31.825 38.605
2005-02-02 15802 1.30275 8.2765 103.59 1027.85 1.6355 31.705 38.465
2005-02-03 15795 1.29755 8.2765 104.475 1025.5 1.63825 31.625 38.465
2005-02-07 15791 1.27565 8.2764 104.845 1029.5 1.6418 31.625 38.305
2005-02-08 15796 1.27615 8.2765 105.845 1026.25 1.6473 31.78 38.535
2005-02-09 15801 1.28055 8.2765 105.61 1038.5 1.64695 31.7 38.57
2005-02-10 15800 1.28735 8.2765 105.84 1038.5 1.65225 31.805 38.525
